Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID,read_dates,genres
,"Harry is a Dragon, and that's ok",Saphroneth,Saphroneth,,,,4,,,,1954,2020,2020,2020/04/14,,,,read,,,words: 465694,1,,,,,,,,,"2020-04-09,2020-04-14",
,Ashes of the Past,Saphroneth,Saphroneth,,,,3,,,,9571,,,2020/06/19,,,,read,,,words: 2067852,1,,,,,,,,,"2020-04-14,2020-06-19",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23820140,"Konfuzius: ""Gespräche - Lun Yu""",Confucius,"Confucius, Confucius",Peter Früh,,,0,3.83,,Kindle Edition,132,2014,-429,2009/01/01,2015/08/30,,,read,,,,1,,,0,,,,,,",2009-01-01",
53341301,"The Physicians of Vilnoc (Penric and Desdemona, #8)",Lois McMaster Bujold,"Bujold, Lois McMaster",,,,4,4.45,Spectrum Literary Agency,Kindle Edition,127,2020,2020,2020/05/10,2020/05/09,,,read,,,,1,,,0,,,,,,"2020-05-09,2020-05-10",Fantasy|78;Novella|10;Fiction|8;Science Fiction Fantasy|5
35519109,"Exit Strategy (The Murderbot Diaries, #4)",Martha Wells,"Wells, Martha",,,,5,4.41,Tor.com,Kindle Edition,176,2018,2018,2018/10/05,2018/10/04,,,read,,,,2,,,0,,,,,,"2018-10-04,2018-10-05;2020-05-09,2020-05-09",Science Fiction|1186;Fiction|362;Novella|305
36153880,"Rogue Protocol (The Murderbot Diaries, #3)",Martha Wells,"Wells, Martha",,,,5,4.28,Tor.com,Kindle Edition,150,2018,2018,2018/08/11,2018/08/11,,,read,,,,2,,,0,,,,,,"2018-08-11,2018-08-11;2020-05-09,2020-05-09",Science Fiction|1303;Fiction|388;Novella|349
35064104,"Artificial Condition (The Murderbot Diaries, #2)",Martha Wells,"Wells, Martha",,0765397552,9780765397553,4,4.28,Tor.com,Paperback,159,2018,2018,2018/05/08,2018/05/08,,,read,,,,2,,,0,,,,,,"2018-05-08,2018-05-08;2020-05-09,2020-05-09",Science Fiction|1591;Fiction|473;Novella|395
52381770,"Network Effect (The Murderbot Diaries, #5)",Martha Wells,"Wells, Martha",,1250229863,9781250229861,5,4.47,Tor.com,Hardcover,350,2020,2020,2020/05/08,2020/05/08,,,read,,,,1,,,0,,,,,,"2020-05-08,2020-05-08","Science Fiction|488;Fiction|155;Space,Space Opera|42;Science Fiction Fantasy|40;Space|33;Adult|30;Science Fiction,Robots|29;Audiobook|28;Artificial Intelligence|26;Adventure|25"
38099642,"Holy Sister (Book of the Ancestor, #3)",Mark  Lawrence,"Lawrence, Mark",,0008152403,9780008152406,4,4.35,Harper Voyager,Paperback,352,2019,2019,2020/04/08,2020/04/07,,,read,,,,1,,,0,,,,,,"2020-04-06,2020-04-08","Fantasy|1119;Fiction|97;Fantasy,Magic|56;Adult|56"
35530652,"Grey Sister (Book of the Ancestor, #2)",Mark  Lawrence,"Lawrence, Mark",,0008152349,9780008152345,3,4.42,Ace,Hardcover,416,2018,2018,2020/04/05,2020/04/03,,,read,,,,1,,,0,,,,,,"2020-04-03,2020-04-05","Fantasy|1581;Fiction|120;Fantasy,Magic|84;Adult|78"
31147669,"Red Sister (Book of the Ancestor, #1)",Mark  Lawrence,"Lawrence, Mark",,,,3,4.22,Ace,Kindle Edition,477,2017,2017,2020/04/03,2017/03/30,,,read,,,,1,,,0,,,,,,"2020-04-01,2020-04-03","Fantasy|4046;Fiction|371;Adult|262;Fantasy,Magic|195"
44811849,"Bone Silence (Revenger, #3)",Alastair Reynolds,"Reynolds, Alastair",,0575090677,9780575090675,2,3.97,Gollancz,Hardcover,603,2020,2020,2020/04/01,2020/03/25,,,read,,,,1,,,0,,,,,,"2020-03-25,2020-04-01","Science Fiction|41;Space,Space Opera|8;Fiction|8"
43459662,The Gurkha and the Lord of Tuesday,Saad Hossain,"Hossain, Saad",,1250209110,9781250209115,3,4.12,Tor.com,Paperback,167,2019,2019,2020/03/25,2020/03/22,,,read,,,,1,,,0,,,,,,"2020-03-22,2020-03-25",Fantasy|125;Science Fiction|47;Fiction|30;Novella|23
51107,The Dubious Hills,Pamela Dean,"Dean, Pamela",,0812523628,9780812523621,3,3.65,Tor Books,Mass Market Paperback,320,1995,1994,2020/03/16,2020/03/14,,,read,,,,1,,,0,,,,,,"2020-03-14,2020-03-16",Fantasy|60;Fiction|12;Science Fiction Fantasy|9;Young Adult|4
43263202,"Interference (Semiosis Duology, #2)",Sue Burke,"Burke, Sue",,1250317843,9781250317841,0,4,Tor Books,Hardcover,320,2019,2019,,2020/03/15,to-read,to-read (#62),to-read,,,,0,,,0,,,,,,,"Science Fiction|81;Fiction|20;Audiobook|9;Science Fiction,Aliens|8"
52379336,"The Tyrant Baru Cormorant (The Masquerade, #3)",Seth Dickinson,"Dickinson, Seth",,0765380765,9780765380760,0,4.57,Tor Books,Hardcover,656,2020,2020,,2020/02/22,to-read,to-read (#61),to-read,,,,0,,,0,,,,,,,"Fantasy|48;LGBT|9;Fiction|7;Science Fiction|2;Science Fiction Fantasy|2;Adult|2;GLBT,Queer|2"
52369824,Minor Mage,T. Kingfisher,"Kingfisher, T.",,,,3,4.19,Red Wombat Studio,Kindle Edition,185,2019,2019,2020/02/28,2020/02/28,,,read,,,,1,,,0,,,,,,"2020-02-24,2020-02-28","Fantasy|198;Young Adult|43;Novella|34;Fiction|24;Fantasy,Magic|20"
51193044,"The Orphans of Raspay (Penric and Desdemona, #7)",Lois McMaster Bujold,"Bujold, Lois McMaster",,,,4,4.34,Spectrum Literary Agency,Kindle Edition,128,2019,2019,2020/03/13,2020/03/13,,,read,,,,1,,,0,,,,,,"2020-03-13,2020-03-13",Fantasy|159;Novella|28;Fiction|18;Science Fiction Fantasy|7
50641444,Instantiation,Greg Egan,"Egan, Greg",,,,3,4.26,Greg Egan,Kindle Edition,413,2020,,2020/03/11,2020/03/08,,,read,,,,1,,,0,,,,,,"2020-03-06,2020-03-11","Science Fiction|10;Short Stories|5;Fiction|2;Anthologies,Collections|2"
38117105,"The Monster Baru Cormorant (The Masquerade, #2)",Seth Dickinson,"Dickinson, Seth",,,,0,3.88,Tor Books,Kindle Edition,464,2018,2018,,2020/02/22,to-read,to-read (#60),to-read,,,,0,,,0,,,,,,,"Fantasy|361;Fiction|68;LGBT|35;GLBT,Queer|24"
50702014,Paladin's Grace,T. Kingfisher,"Kingfisher, T.",,,,4,4.38,Red Wombat Studio,Kindle Edition,400,2020,2020,2020/02/19,2020/02/18,,,read,,,,1,,,0,,,,,,"2020-02-18,2020-02-19",Fantasy|168;Romance|81;Fiction|23;Mystery|12
185827,Newton's Wake,Ken MacLeod,"MacLeod, Ken",,076534422X,9780765344229,3,3.59,Tor Science Fiction,Paperback,352,2005,2004,2020/02/17,2020/02/12,,,read,,,,1,,,0,,,,,,"2020-02-11,2020-02-17","Science Fiction|179;Space,Space Opera|57;Fiction|52;Singularity|8;Science Fiction Fantasy|5;Space|4;Artificial Intelligence|4;Speculative Fiction|4;Novels|4;Science Fiction,Cyberpunk|3"
35569634,The Odyssey,Homer,"Homer, Homer",Emily Wilson,,,0,3.77,W. W. Norton & Company,Kindle Edition,575,2017,-700,2018/03/23,2018/03/13,,,read,,,,1,,,0,,,,,,"2018-03-11,2018-03-23","Classics|16260;Fiction|4363;Poetry|4034;Fantasy,Mythology|2278;Fantasy|1536;Academic,School|1379;Literature|1313;Adventure|766;Academic,Read For School|635;Historical,Historical Fiction|522"
44012912,The Storm Before the Storm: The Beginning of the End of the Roman Republic,Mike Duncan,"Duncan, Mike",,,,4,4.22,Hachette Audio,Audible Audio,,2017,2017,,2020/02/13,,,read,,,,1,,,0,,,,,,"2020-02-02,2020-02-13","History|858;Nonfiction|331;History,Ancient History|72"
43254470,"House of Red Fireflies (House of Red Fireflies, #1)",Ursula Vernon,"Vernon, Ursula",,,,5,4.38,Self-published,ebook,,2006,,,2020/02/13,,,read,,,,1,,,0,,,,,,,
43254531,"The Golem Girl (House of Red Fireflies, #3)",Ursula Vernon,"Vernon, Ursula",,,,5,4.62,,ebook,,2008,,,2020/02/13,,,read,,,,1,,,0,,,,,,,
34066798,A Gentleman in Moscow,Amor Towles,"Towles, Amor",,0143110438,9780143110439,5,4.35,Penguin Books,Paperback,462,2019,2016,2020/02/09,2020/02/08,,,read,,,,1,,,0,,,,,,"2020-02-08,2020-02-09","Historical,Historical Fiction|4721;Fiction|4186;Cultural,Russia|808;Historical|693;Audiobook|434;Book Club|389;Literary Fiction|280;Adult Fiction|251;Novels|249;Adult|233"
378724,"Crossover (Cassandra Kresnov, #1)",Joel Shepherd,"Shepherd, Joel",,1591024439,9781591024439,0,3.85,Pyr,Paperback,459,2006,2001,,2020/02/05,to-read,to-read (#59),to-read,,,,0,,,0,,,,,,,"Science Fiction|197;Science Fiction,Cyberpunk|36;Fiction|22"
36430601,"The Ascent to Godhood (Tensorate, #4)",J.Y.  Yang,"Yang, J.Y.",,1250165881,9781250165886,3,4.08,Tor.com,Paperback,122,2019,2019,2020/02/01,2020/02/01,,,read,,,,1,,,0,,,,,,"2020-02-01,2020-02-01","Fantasy|150;Fiction|35;Novella|28;LGBT|25;GLBT,Queer|21"
36430596,"The Descent of Monsters (Tensorate, #3)",J.Y.  Yang,"Yang, J.Y.",,1250165857,9781250165855,2,3.93,Tor.com,Paperback,166,2018,2018,2020/01/29,2020/01/24,,,read,,,,1,,,0,,,,,,"2020-01-23,2020-01-29","Fantasy|258;Novella|54;Fiction|48;GLBT,Queer|34;LGBT|34"
33099586,The Red Threads of Fortune (Tensorate #2),J.Y.  Yang,"Yang, J.Y.",,0765395398,9780765395399,3,3.94,Tor.com,Paperback,213,2017,2017,2020/01/21,2020/01/18,,,read,,,,1,,,0,,,,,,"2020-01-18,2020-01-21","Fantasy|493;Fiction|92;Novella|83;LGBT|64;GLBT,Queer|52"
33099588,"The Black Tides of Heaven (Tensorate, #1)",J.Y.  Yang,"Yang, J.Y.",,076539541X,9780765395412,3,3.78,Tor.com,Paperback,236,2017,2017,2020/01/17,2020/01/16,,,read,,,,1,,,0,,,,,,"2020-01-16,2020-01-17","Fantasy|1301;Fiction|225;LGBT|204;Novella|171;GLBT,Queer|131"
49811566,"Mapping Winter (Riders Guild, #1)",Marta Randall,"Randall, Marta",,,,0,3.96,Endeavour Venture,Kindle Edition,365,2019,2019,,2020/01/17,to-read,to-read (#58),to-read,,,,0,,,0,,,,,,,"Fantasy|18;Fantasy,Epic Fantasy|2"
45887016,"To Clear Away the Shadows (Lt. Leary, #13)",David Drake,"Drake, David",,,,4,3.91,Baen Books,Kindle Edition,288,2019,2019,2020/01/07,2020/01/05,,,read,,,,1,,,0,,,,,,"2020-01-05,2020-01-07","Science Fiction|22;Space,Space Opera|6;Fiction|5;War,Military Fiction|3"
39338547,Though Hell Should Bar the Way (RCN Series Book 12),David Drake,"Drake, David",,,,4,4.28,Baen Books,Kindle Edition,416,2018,2018,2020/01/02,2020/01/01,,,read,,,,1,,,0,,,,,,"2020-01-01,2020-01-02","Science Fiction|28;Space,Space Opera|6"
34810337,The Last Good Man,Linda Nagata,"Nagata, Linda",,1937197220,9781937197223,3,4.03,Mythic Island Press LLC,Paperback,464,2017,2017,2019/12/30,2019/12/30,,,read,,,,1,,,0,,,,,,"2019-12-29,2019-12-30","Science Fiction|65;Fiction|22;Thriller|14;War,Military Fiction|10"
96284,Remnant Population,Elizabeth Moon,"Moon, Elizabeth",,034546219X,9780345462190,4,4.06,Del Rey,Paperback,325,2003,1996,2019/12/29,2019/12/29,,,read,,,,1,,,0,,,,,,"2019-12-29,2019-12-29","Science Fiction|369;Fiction|70;Science Fiction,Aliens|29"
35382980,"Uncompromising Honor (Honor Harrington, #14)",David Weber,"Weber, David",,,,3,4.29,Baen,ebook,773,2018,2018,2019/12/28,2019/12/22,,,read,,,,1,,,0,,,,,,"2019-12-25,2019-12-28","Science Fiction|125;Space,Space Opera|34;Fiction|22;War,Military Fiction|21"
29430688,"Shadow of Victory (Honorverse: Saganami Island, #4)",David Weber,"Weber, David",,1476781826,9781476781822,3,3.64,Baen,Hardcover,756,2016,2016,,2019/12/24,,,read,,,,1,,,0,,,,,,"2019-12-22,2019-12-25","Science Fiction|94;Space,Space Opera|25;War,Military Fiction|23;Fiction|13"
12269981,"A Rising Thunder (Honor Harrington, #13)",David Weber,"Weber, David",,145163806X,9781451638066,3,4.08,Baen,Hardcover,458,2012,2012,2019/12/22,2019/12/21,,,read,,,,1,,,0,,,,,,"2019-12-21,2019-12-22","Science Fiction|324;Space,Space Opera|91;War,Military Fiction|62;Fiction|53"
7106681,"Mission of Honor (Honor Harrington, #12)",David Weber,"Weber, David",,1439133611,9781439133613,3,4.21,Baen,Hardcover,600,2010,2010,2019/12/21,2019/12/18,,,read,,,2.5,1,,,0,,,,,,"2019-12-18,2019-12-21","Science Fiction|367;Space,Space Opera|107;Fiction|65;War,Military Fiction|57"
77732,"At All Costs (Honor Harrington, #11)",David Weber,"Weber, David",,1416509119,9781416509110,2,4.19,Baen,Hardcover,855,2005,2005,2008/01/01,2014/05/09,,,read,,,,2,,,0,,,,,,",2008-01-01","Science Fiction|388;Space,Space Opera|101;Fiction|68;War,Military Fiction|62"
279801,The Klingon Hamlet,William Shakespeare,"Shakespeare, William","Lawrence M. Schoen, The Klingon Language Institute",0671035789,9780671035785,0,4.17,Pocket Books/Star Trek,Paperback,240,2000,2000,,2018/10/10,,,read,,,,1,,,0,,,,,,,"Classics|15656;Plays|7942;Fiction|3664;Drama|2726;Academic,School|1828"
77743,"War of Honor (Honor Harrington, #10)",David Weber,"Weber, David",,0743435451,9780743435451,3,4.12,Baen,Hardcover,869,2002,2002,2008/01/01,2014/05/09,,,read,,,,2,,,0,,,,,,",2008-01-01","Science Fiction|466;Space,Space Opera|122;Fiction|89;War,Military Fiction|80"
